Region,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Rice_Early_China_Guangxi,,,,,,,,,,,,,,,,,,,,3.9715,3.8908,4.5751,4.8647,4.666,4.7017,4.5564,4.82671,4.6919,5.0704,5.2879,5.4739,5.7108,5.6785,4.5543,5.8464,5.7957,5.98373,5.55188,5.96661,5.86588,5.14849,5.38353,5.3536,5.21704,5.05613,5.262,5.41422,5.30679,5.59567,5.50891,5.63493,5.8604,,
Rice_Early_China_Hainan,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2463,3.8831,3.7849,3.8731,4.1183,3.949,4.0746,4.1153,4.299,4.47472,4.35233,4.58678,4.55067,4.59746,4.42931,4.53894,4.74572,4.4468,4.90521,4.86856,5.02203,5.09361,5.0835,5.2596,5.32645,,
Rice_Early_China_Chongqing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.81395,5.45455,6.09756,5.33333,6.25,5.45455,6,5,6.45161,,,,,,,,,
Rice_Early_China_Sichuan,,,,,,,,,,,,,,,,,,,,4.4872,4.6561,4.9624,4.8209,5.5525,4.6771,5.497,4.92693,5.6707,5.7895,6.1751,6.3497,6.582,5.82,5.9184,7.6575,6.1026,6.4,6.32653,6.35593,6.44531,6.55738,6.57895,7.33945,6.875,6.875,6.33186,6.42857,6,6.15385,5.83333,6.36364,6.36364,,
Rice_Early_China_Guizhou,,,,,,,,,,,,,,,,,,,,4.7872,5.7692,3.125,3.9474,3.75,4.0909,4.6154,5,3,5,6,6.1111,5,5,5.7143,5,1.667,5,5,3.07692,3.33333,6.25,5,5,6.25,6.25,5.48222,5.84346,5,5.71429,,,,,
Rice_Early_China_Yunnan,,,,,,,,,,,,,,,,,,,,3.865,4.8063,4.785,5.2276,5.4303,5.4783,5.6889,5.59748,5.8254,5.7456,6.2741,6.0727,6.5091,6.4455,6.7902,6.902,7.0311,6.93143,6.8932,7.04496,5.99343,5.8739,5.80123,6.69451,6.61014,5.79448,6.57257,6.5142,6.43077,6.44704,6.50643,6.3127,6.35282,,
Rice_India_All,1.5419,1.3959,1.5498,1.6171,1.2936,1.2952,1.5484,1.6134,1.6094,1.6849,1.711,1.6046,1.7259,1.5744,1.8582,1.6372,1.9613,1.9912,1.6105,2.0002,1.9623,1.8497,2.1833,2.1272,2.3292,2.2052,2.1991,2.5486,2.616,2.6125,2.6271,2.6092,2.8303,2.8645,2.6972,2.8226,2.8457,2.8805,2.9782,2.8508,3.1158,2.6163,3.1177,2.9756,3.1537,3.1759,3.2924,3.2509,3.2366,3.3587,3.5878,3.6909,3.607,3.5845
Rice_Italy_All,5.6773,5.5963,4.9035,5.2168,4.025,4.687,5.1823,4.1673,5.1004,4.7327,5.0967,4.0961,5.4098,5.4675,5.695,4.8503,3.6735,4.9553,6.0348,5.4955,5.2868,5.7082,5.5956,5.5925,6.052,5.9344,5.6128,5.5098,6.0461,6.0278,6.0274,5.8758,5.6317,5.7661,5.5206,5.8122,6.195,6.2573,6.4635,5.581,5.8494,6.27,6.4129,6.6317,6.3074,6.2772,6.624,6.1949,6.7941,6.1219,6.0452,6.8133,6.6342,6.3148
Rice_Pakistan_All,1.3915,1.3856,1.3902,1.4937,1.4174,1.4523,1.5835,1.9604,2.2201,2.1939,2.3293,2.3624,2.4353,2.1632,2.2964,2.3472,2.3297,2.423,2.371,2.4235,2.6035,2.6121,2.5065,2.4883,2.3499,2.532,2.4765,2.3511,2.2925,2.3151,2.3199,2.3686,2.7397,2.4333,2.7522,2.8685,2.8048,2.893,3.0744,3.0312,2.7542,3.0192,2.9551,2.9914,3.1742,3.1604,3.3176,3.5199,3.5845,3.0589,2.3959,2.3977,2.4373,2.4226
Rice_Spain_All,6.357,6.2246,6.3573,6.2111,5.9262,6.3519,6.1173,5.9889,6.4544,5.9487,5.9067,5.8511,6.2948,5.9951,6.0982,6.3469,5.5847,5.8754,6.2245,6.3333,6.4348,5.9453,5.4902,6.0329,6.198,6.3245,6.3284,6.3404,5.841,6.3209,6.2082,6.4481,6.6694,6.1109,6.0459,6.9838,6.8295,7.0657,7.5388,7.0661,7.5795,7.2172,7.2766,7.2015,6.9166,6.7992,7.1228,6.922,7.6593,7.5936,7.58,7.9739,7.8169,7.7985
