	Region	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
60	Rice_Early_China_Hainan																												-0.5386	0.0541	-0.0882	-0.01	0.1693	-0.1256	-0.0407	0.0	0.0	0.12239	-0.12239	0.03611	0.0	0.04679	-0.12136	0.0	0.20678	-0.29892	0.03665	-0.03665	0.0	0.01011	-0.01011	0.082995	0.06685		
61	Rice_Early_China_Chongqing																																					0.0	-0.1797	0.28361	-0.12122	0.25	0.0	0.0	-0.727275	0.45161									
62	Rice_Early_China_Sichuan																				-0.1689	-0.0824	0.1415	0.0	0.5901	-0.24983	0.0	-0.57007	0.0	0.0	0.0	0.1746	0.4069	-0.5297	-0.1842	1.5549	-0.22393	0.04407	-0.0294	-0.04407	0.0	0.0	0.0	0.46445	0.0	0.0	-0.09671	0.09671	-0.15385	0.0	-0.32052	0.104895	0.0		
63	Rice_Early_China_Guizhou																				0.0	1.4019	-0.8224	0.0	-0.1974	0.0	0.5245	0.3846	-2.0	0.0	1.0	1.1111	-0.7143	0.0	0.7143	0.0	-3.333	0.0	1.66667	-1.92308	-1.66667	1.25	0.0	-1.25	0.76778	0.40654	-0.36124	0.12917	-0.598255	0.0					
64	Rice_Early_China_Yunnan																				-0.92	0.01065	-0.0213	0.0	0.0	0.0	0.09142	-0.09142	0.0798	-0.0798	0.2014	-0.2014	0.0636	-0.0636	0.0	0.0	0.1291	0.0	-0.03823	0.15176	0.0	-0.11953	-0.1922	0.82061	0.03757	-0.77809	0.05837	0.06716	-0.07566	0.0	0.07566	-0.08723	0.0		
65	Rice_India_All	0.0	-0.14995	0.0079	0.2212	-0.2548	-0.2532	0.0	0.004	-0.004	0.0715	0.0261	-0.0803	0.0149	-0.0628	0.1323	-0.221	0.1031	0.0299	-0.3518	0.0379	0.0	-0.1505	0.0561	-0.0561	0.1301	0.0	-0.1301	0.0	0.0035	0.0	0.0111	-0.0179	0.1331	0.0419	-0.1331	-0.0231	0.0	0.0297	0.0977	-0.0297	0.1376	-0.3593	0.0019	-0.1421	0.0	0.0	0.0558	0.0	-0.0558	0.0	0.0	0.1031	0.0096	-0.0225
66	Rice_Italy_All	0.081	0.18975	-0.3133	0.3133	-0.8785	0.0	0.4953	-0.5654	0.0037	0.0	0.0	-1.0006	0.0	0.0577	0.2852	-0.105	-1.2818	0.0	0.748	0.0	-0.3088	0.1157	0.0	-0.1157	0.4392	0.3216	-0.3216	-0.4246	0.0187	0.0004	0.0	0.0	-0.1344	0.0	-0.2455	0.0	0.0	0.0623	0.2685	-0.6763	-0.4206	0.0	0.1055	0.3243	-0.1055	-0.0302	0.3166	-0.0823	0.5992	-0.073	-0.589	0.4985	0.1597	-0.3194
67	Rice_Pakistan_All	0.0013	-0.00525	-0.0013	0.0763	-0.0349	-0.0414	0.0	0.0	0.0262	-0.0262	0.0	0.0331	0.106	-0.184	-0.0333	0.0175	-0.0175	0.052	-0.052	0.0	0.097	0.1056	0.0	-0.0182	-0.1384	0.0555	0.1254	0.0	-0.0274	-0.0048	0.0	0.0	0.3064	-0.3064	0.0	0.0637	-0.0637	0.0	0.1814	0.012	-0.265	0.0278	-0.0363	-0.0278	0.0138	-0.0138	0.0	0.2023	0.2669	0.0	-0.0414	-0.0249	0.02715	0.0
68	Rice_Spain_All	0.0	-0.0662	0.1327	-0.0135	-0.2849	0.2346	0.0	-0.1284	0.4655	0.0	-0.042	-0.0976	0.2997	-0.1031	0.0	0.3518	-0.5135	-0.3491	0.0	0.1088	0.2103	-0.0876	-0.5427	0.0	0.0	0.0	0.0039	0.0159	-0.4799	0.0	-0.1127	0.1272	0.4612	-0.3372	-0.6235	0.1543	-0.1543	0.0	0.4727	-0.1511	0.3029	0.0	0.0594	0.0	-0.2062	-0.1228	0.2008	-0.2008	0.0793	0.0	-0.0793	0.1754	0.0092	-0.0184
69	Rice_Thailand_All	-0.0617	-0.0591	0.092	0.0024	-0.0555	0.0478	-0.0385	-0.0478	0.0	0.1733	0.0127	-0.0934	0.0934	-0.0054	0.0	0.0142	-0.2398	0.1102	-0.0669	-0.0002	0.0641	-0.0641	0.0	0.0148	0.0086	-0.0086	-0.0461	0.0943	0.0	-0.1909	0.079	-0.0751	-0.0039	0.0	0.0371	0.0	-0.0371	0.0409	-0.0409	0.0	0.0	0.0437	0.0002	-0.0439	0.0465	-0.0465	0.0462	0.0466	-0.08	-0.0789	0.0	0.0768	0.0225	-0.0877
70	Rice_USA_All	-0.3558	-0.1332	0.0	0.0	0.0	0.0	0.2409	0.0	-0.2452	0.0	0.1119	0.0916	-0.3175	-0.1316	0.1316	0.2011	-0.1636	0.0	0.1291	-0.2087	0.2467	0.0	-0.2483	0.0	0.0	0.1539	0.0	-0.047	0.2195	-0.2269	0.0	0.0048	-0.2482	0.2559	-0.3091	0.2492	0.0357	-0.2643	-0.0357	0.0	0.0	0.0	0.0514	0.3569	-0.3068	0.0	0.3604	-0.0582	0.0203	-0.3835	-0.0203	0.0	0.2029	0.0
71	Rice_Vietnam_All	-0.0971	0.0248	0.1959	0.0	0.0	-0.108	0.108	-0.0984	-0.1279	0.0	0.033	0.0	0.0182	-0.0371	-0.0366	0.1129	-0.1338	-0.2794	0.0	0.0	0.0	0.0	0.0	0.0	0.0438	0.0299	-0.1106	0.0	0.1003	0.0	-0.1003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	-0.03125	0.1185
